species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Arenaria_interpres;Scolopaci+;Scolopacidae;4;1;0.033476805;0.043476805;NO;0.586002165;64.017;-81.783;126;4;2001;After 2000;97;1045.5
Calidris_himantopus;Scolopaci+;Scolopacidae;15;3;0.034482759;0.044482759;NO;0.56923461;70.1;-145.8;22;5;2012;After 2000;17;174
Calidris_melanotos;Scolopaci+;Scolopacidae;18;3;0.045454546;0.055454546;NO;0.701659673;73.2;-80;21;6;2011;After 2000;13;110
Calidris_melanotos;Scolopaci+;Scolopacidae;18;4;0.208604954;0.218604954;NO;0.997718468;72.906;106.104;80;2;2013;After 2000;88;383.5
Calidris_minuta;Scolopaci+;Scolopacidae;19;2;0.114942529;0.124942529;NO;0.949788745;72.906;106.104;80;2;2013;After 2000;17;87
Calidris_pusilla;Scolopaci+;Scolopacidae;22;1;0.008849558;0.018849558;NO;0.188515721;70.38;-149.534;73;1;2013;After 2000;17;226
Charadrius_falklandicus;Charadrii;Charadriidae;49;1;0.007539042;0.017539042;NO;0.194004166;-42.729;-65.036;110;2;2014;After 2000;75;928.5
Haematopus_ostralegus;Charadrii;Other;36;3;0.120879121;0.130879121;NO;0.97456774;56.264;16.445;124;1;2004;After 2000;25;182
Limnodromus_griseus;Scolopaci+;Scolopacidae;69;1;0.020833333;0.030833333;NO;0.409233971;58.701;-93.802;56;3;2013;After 2000;22;240
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;4;0.081632653;0.091632653;NO;0.873191455;70.6;-154.7;58;3;2012;After 2000;22;196
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;5;0.03125;0.04125;NO;0.510487711;70.38;-149.534;73;2;2011;After 2000;13;128
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;3;0.103174603;0.113174603;NO;0.937762605;72.906;106.104;80;2;2013;After 2000;37;252
Pluvialis_fulva;Charadrii;Charadriidae;85;3;0.121212121;0.131212121;NO;0.986381009;72.906;106.104;80;2;2013;After 2000;16;115.5
