species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period;N_nests;Exposure
Eudromias_morinellus;Charadrii;Charadriidae;29;1;0.025376685;0.035376685;NO;0.525466264;60.383;Arctic;7.633;50;7;1982;before 2000;53;630.5
Pluvialis_apricaria;Charadrii;Charadriidae;83;1;0.054878049;0.064878049;NO;0.857330602;60.383;Arctic;7.633;50;7;1982;before 2000;51;492
Numenius_arquata;Scolopaci+;Scolopacidae;77;4;0.051593323;0.061593323;NO;0.833114896;61.367;Arctic;22.833;139;3;1996;before 2000;53;659
Tringa_glareola;Scolopaci+;Scolopacidae;98;2;0.005204945;0.015204945;YES;0.129154976;61.713;Arctic;132.077;148;5;1980;before 2000;17;192.125
Tringa_stagnatilis;Scolopaci+;Scolopacidae;100;1;0.005128205;0.015128205;YES;0.125126861;61.713;Arctic;132.077;148;1;1982;before 2000;33;390
Xenus_cinereus;Scolopaci+;Scolopacidae;110;1;0.005291005;0.015291005;YES;0.133450816;61.713;Arctic;132.077;148;1;1982;before 2000;15;189
Calidris_mauri;Scolopaci+;Scolopacidae;17;4;0.011814346;0.021814346;YES;0.257043104;61.725;Arctic;-165.523;70;3;1997;before 2000;215;2962.5
Charadrius_mongolus;Charadrii;Charadriidae;53;1;0.021786492;0.031786492;NO;0.442182841;62.543;Arctic;177.076;87;8;2012;after 2000;67;918
Pluvialis_fulva;Charadrii;Charadriidae;85;1;0.029118774;0.039118774;NO;0.625654229;62.543;Arctic;177.076;87;8;2012;after 2000;57;652.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;5;0.002435065;0.012435065;NO;0.079101603;63.083;Arctic;22.933;65;3;1996;before 2000;66;1232
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;4;0.049666525;0.059666525;YES;0.771753148;63.764;Arctic;-20.068;127;2;2009;after 2000;59;704.7
Arenaria_interpres;Scolopaci+;Scolopacidae;4;1;0.033476805;0.043476805;NO;0.586002165;64.017;Arctic;-81.783;126;4;2001;after 2000;97;1045.5
Calidris_mauri;Scolopaci+;Scolopacidae;17;1;0.04089441;0.05089441;NO;0.647904434;64.449;Arctic;-164.977;2;6;2004;after 2000;322;3351
Calidris_pusilla;Scolopaci+;Scolopacidae;22;2;0.03943284;0.04943284;NO;0.611490387;64.449;Arctic;-164.977;2;3;1994;before 2000;134;938
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;2;0.022059;0.032059;NO;0.394610729;64.79;Arctic;177.637;138;1;2015;after 2000;27;272
Calidris_tenuirostris;Scolopaci+;Scolopacidae;25;1;0.029360492;0.039360492;YES;0.538518623;64.844;Arctic;178.314;6;3;1994;before 2000;13;136.2375
Calidris_temminckii;Scolopaci+;Scolopacidae;24;1;0.027698379;0.037698379;YES;0.501729649;65.021;Arctic;24.72;16;23;1994;before 2000;500;5520.48
Calidris_ptilocnemis;Scolopaci+;Scolopacidae;21;1;0.015952144;0.025952144;NO;0.320187303;66.066;Arctic;-170.7;137;3;1979;before 2000;35;501.5
