species;clade;family;spec_nr;pop_nr;DPR_orig;DPR_trans;TPR_orig_100;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;1;0.00497977;1;0.119531702;11.9531702;54.505;-3.051;121;14;1944;Before 2000;33;401.625
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;2;0.006614694;1;0.155689564;15.5689564;53.403;-1.789;5;4;1978;Before 2000;88;1058.25
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;3;0.010055304;1;0.227179219;22.7179219;50.195;15.977;105;8;1982;Before 2000;33;397.8
Actitis_macularius;Scolopaci+;Scolopacidae;111;3;0.003164056;1;0.074704633;7.4704633;41.203;-72.119;47;2;1970;Before 2000;22;316.05
Actitis_macularius;Scolopaci+;Scolopacidae;111;5;0.003401361;1;0.080086264;8.0086264;42.995;-87.882;91;1;1944;Before 2000;21;294
Actitis_macularius;Scolopaci+;Scolopacidae;111;2;0.013605442;1;0.285106492;28.5106492;42.34;-82.979;14;1;1947;Before 2000;35;441
Actitis_macularius;Scolopaci+;Scolopacidae;111;1;0.018781924;1;0.371571693;37.1571693;47.112;-94.372;76;15;1982;Before 2000;239;4365.9
Actitis_macularius;Scolopaci+;Scolopacidae;111;4;0.029024943;1;0.514043047;51.4043047;47.336;-95.193;100;3;1971;Before 2000;18;275.625
Actophilornis_africanus;Charadrii;Other;2;1;0.048414428;1;0.717888919;71.7888919;-24.672;28.66;34;9;1984;Before 2000;123;1755.675
Anarhynchus_frontalis;Charadrii;Charadriidae;3;1;0.008381226;1;0.236108467;23.6108467;-43.545;172.186;113;2;1982;Before 2000;58;835.2
Arenaria_interpres;Scolopaci+;Scolopacidae;4;2;0.005720006;1;0.138063326;13.8063326;68.61;171.241;12;9;1976;Before 2000;47;699.3
Bartramia_longicauda;Scolopaci+;Scolopacidae;5;1;0.020294267;1;0.425112936;42.5112936;47.551;-101.002;101;28;1977;Before 2000;608;8278.2
Calidris_alba;Scolopaci+;Scolopacidae;9;1;0.014255168;1;0.354616992;35.4616992;75.728;-99.094;11;2;1968;Before 2000;14;210.45
Calidris_alba;Scolopaci+;Scolopacidae;9;2;0.01914;0;0.45;45;74.478;-20.555;149;4;1997;Before 2000;36;365.8
Calidris_alpina;Scolopaci+;Scolopacidae;10;4;0;1;0;0;58.701;-93.802;56;4;1965;Before 2000;13;195
Calidris_alpina;Scolopaci+;Scolopacidae;10;3;0.01025641;1;0.227199417;22.7199417;70.38;-149.534;73;4;1990;Before 2000;35;487.5
Calidris_alpina;Scolopaci+;Scolopacidae;10;5;0.028070175;1;0.509235967;50.9235967;68.61;171.241;12;9;1976;Before 2000;46;570
Calidris_alpina;Scolopaci+;Scolopacidae;10;1;0.042454813;0;0.66194922;66.194922;57.338;-7.385;125;5;1991;Before 2000;222;2379
Calidris_alpina;Scolopaci+;Scolopacidae;10;2;0.061850444;1;0.79732418;79.732418;55.47;12.97;131;6;1983;Before 2000;203;1972.5
Calidris_bairdii;Scolopaci+;Scolopacidae;11;2;0.010161053;1;0.219777852;21.9777852;68.55;-83.317;120;4;1982;Before 2000;25;492.075
Calidris_canutus;Scolopaci+;Scolopacidae;12;1;0.032608696;0;0.577665401;57.7665401;76.083;98.533;69;3;1991;Before 2000;18;184
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;1;0;1;0;0;75.267;112.467;109;1;1991;Before 2000;25;235
