species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Himantopus_novaezelandiae;Charadrii;Other;44;1;0.038095238;0.048095238;YES;0.656337572;-43.862;170.45;24;3;1978;Before 2000;27;288.75
Calidris_alpina;Scolopaci+;Scolopacidae;10;1;0.042454813;0.052454813;NO;0.66194922;57.338;-7.385;125;5;1991;Before 2000;222;2379
Charadrius_hiaticula;Charadrii;Charadriidae;50;3;0.030482642;0.040482642;NO;0.579702803;55.667;-1.833;75;2;1975;Before 2000;111;1181
Charadrius_hiaticula;Charadrii;Charadriidae;50;2;0.032967033;0.042967033;NO;0.608838741;72.233;-23.917;88;1;1974;Before 2000;13;182
Charadrius_hiaticula;Charadrii;Charadriidae;50;1;0.051154369;0.061154369;NO;0.770133466;57.338;-7.385;125;5;1991;Before 2000;183;2209
Charadrius_hiaticula;Charadrii;Charadriidae;50;4;0.163616792;0.173616792;NO;0.993280321;56.76;-2.418;31;2;1975;Before 2000;82;464.5
Charadrius_wilsonia;Charadrii;Charadriidae;64;3;0.015584416;0.025584416;NO;0.3507556;28.164;-96.741;84;1;1980;Before 2000;26;385
Charadrius_wilsonia;Charadrii;Charadriidae;64;2;0.039130435;0.049130435;NO;0.666364668;26.267;-97.367;74;1;1979;Before 2000;20;230
Eudromias_morinellus;Charadrii;Charadriidae;29;1;0.025376685;0.035376685;NO;0.525466264;60.383;7.633;50;7;1982;Before 2000;53;630.5
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;1;0.006;0.016;NO;0.129263317;52.308;5.526;134;10;1979;Before 2000;500;6000
Glareola_nuchalis;Scolopaci+;Other;33;2;0.051948052;0.061948052;NO;0.673806852;-17.836;25.709;95;1;1987;Before 2000;12;77
Haematopus_ostralegus;Charadrii;Other;36;2;0.011251758;0.021251758;NO;0.275658877;57.338;-7.385;125;2;1996;Before 2000;86;1422
Haematopus_ostralegus;Charadrii;Other;36;1;0.014;0.024;NO;0.330898389;52.308;5.526;134;10;1979;Before 2000;500;6500
Himantopus_himantopus;Charadrii;Other;43;1;0.020334536;0.030334536;NO;0.43453087;36.95;-6.233;35;2;1990;Before 2000;233;3049
Limosa_limosa;Scolopaci+;Scolopacidae;74;1;0.011;0.021;NO;0.25817772;52.308;5.526;134;10;1979;Before 2000;5000;70000
Numenius_americanus;Scolopaci+;Scolopacidae;76;1;0.024054983;0.034054983;NO;0.552248979;43.868;-116.733;89;3;1978;Before 2000;119;1746
Numenius_arquata;Scolopaci+;Scolopacidae;77;5;0.002435065;0.012435065;NO;0.079101603;63.083;22.933;65;3;1996;Before 2000;66;1232
Numenius_arquata;Scolopaci+;Scolopacidae;77;3;0.048401037;0.058401037;NO;0.813042088;54.303;-7.616;79;2;1994;Before 2000;170;1735.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;4;0.051593323;0.061593323;NO;0.833114896;61.367;22.833;139;3;1996;Before 2000;53;659
