species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Belt2;Longitude;Loc_nr;Continent;years_nr;mean_year;period_orig;period_minus5;period_plus5;N_nests;Exposure;research_intensity
Actitis_hypoleucos;Scolopaci;Scolopacidae;1;3;0.010055304;0.020055304;YES;0.227179219;22.7179219;50.195;North temperate;4_North temperate;15.977;105;EUR;8;1982;before 2000;before 1995;before 2005;33;397.8;2_medium
Actitis_hypoleucos;Scolopaci;Scolopacidae;1;2;0.006614694;0.016614694;YES;0.155689564;15.5689564;53.403;North temperate;4_North temperate;-1.789;5;EUR;4;1978;before 2000;before 1995;before 2005;88;1058.25;1_small
Actitis_hypoleucos;Scolopaci;Scolopacidae;1;1;0.00497977;0.01497977;YES;0.119531702;11.9531702;54.505;North temperate;4_North temperate;-3.051;121;EUR;14;1944;before 2000;before 1995;before 2005;33;401.625;1_small
Actitis_macularius;Scolopaci;Scolopacidae;111;3;0.003164056;0.013164056;YES;0.074704633;7.4704633;41.203;North temperate;4_North temperate;-72.119;47;AME;2;1970;before 2000;before 1995;before 2005;22;316.05;3_high
Actitis_macularius;Scolopaci;Scolopacidae;111;4;0.029024943;0.039024943;YES;0.514043047;51.4043047;47.336;North temperate;4_North temperate;-95.193;100;AME;3;1971;before 2000;before 1995;before 2005;18;275.625;3_high
Actitis_macularius;Scolopaci;Scolopacidae;111;1;0.018781924;0.028781924;YES;0.371571693;37.1571693;47.112;North temperate;4_North temperate;-94.372;76;AME;15;1982;before 2000;before 1995;before 2005;239;4365.9;2_medium
Actitis_macularius;Scolopaci;Scolopacidae;111;2;0.013605442;0.023605442;YES;0.285106492;28.5106492;42.34;North temperate;4_North temperate;-82.979;14;AME;1;1947;before 2000;before 1995;before 2005;35;441;1_small
Actitis_macularius;Scolopaci;Scolopacidae;111;5;0.003401361;0.013401361;YES;0.080086264;8.0086264;42.995;North temperate;4_North temperate;-87.882;91;AME;1;1944;before 2000;before 1995;before 2005;21;294;1_small
Actophilornis_africanus;Charadrii;Other;2;1;0.048414428;0.058414428;YES;0.717888919;71.7888919;-24.672;South tropics;2_South tropics;28.66;34;EUR;9;1984;before 2000;before 1995;before 2005;123;1755.675;3_high
Anarhynchus_frontalis;Charadrii;Charadriidae;3;1;0.008381226;0.018381226;YES;0.236108467;23.6108467;-43.545;South temperate;1_South temperate;172.186;113;ASI;2;1982;before 2000;before 1995;before 2005;58;835.2;3_high
Arenaria_interpres;Scolopaci;Scolopacidae;4;2;0.005720006;0.015720006;YES;0.138063326;13.8063326;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;47;699.3;2_medium
Arenaria_interpres;Scolopaci;Scolopacidae;4;1;0.033476805;0.043476805;NO;0.586002165;58.6002165;64.017;Arctic;5_Arctic;-81.783;126;AME;4;2001;after 2000;after 1995;before 2005;97;1045.5;1_small
Bartramia_longicauda;Scolopaci;Scolopacidae;5;1;0.020294267;0.030294267;YES;0.425112936;42.5112936;47.551;North temperate;4_North temperate;-101.002;101;AME;28;1977;before 2000;before 1995;before 2005;608;8278.2;1_small
Burhinus_oedicnemus;Charadrii;Other;6;1;0.033916701;0.043916701;YES;0.606093168;60.6093168;51.195;North temperate;4_North temperate;-1.903;116;EUR;2;2004;after 2000;after 1995;before 2005;122;1474.2;1_small
Burhinus_oedicnemus;Charadrii;Other;6;2;0.014014014;0.024014014;YES;0.316859487;31.6859487;27.683;North tropics;3_North tropics;65.233;98;ASI;3;2000;after 2000;after 1995;before 2005;105;1498.5;1_small
Burhinus_vermiculatus;Charadrii;Other;7;1;0.012524602;0.022524602;YES;0.288443025;28.8443025;-30.972;South temperate;1_South temperate;30.282;97;EUR;3;2002;after 2000;after 1995;before 2005;27;558.9;1_small
Calidris_acuminata;Scolopaci;Scolopacidae;8;1;0.129032258;0.139032258;NO;0.972454299;97.2454299;72.906;Arctic;5_Arctic;106.104;80;ASI;12;2006;after 2000;after 1995;after 2005;15;77.5;2_medium
Calidris_alba;Scolopaci;Scolopacidae;9;1;0.014255168;0.024255168;YES;0.354616992;35.4616992;75.728;Arctic;5_Arctic;-99.094;11;AME;2;1968;before 2000;before 1995;before 2005;14;210.45;2_medium
Calidris_alba;Scolopaci;Scolopacidae;9;2;0.032404407;0.042404407;NO;0.633846331;63.3846331;74.478;Arctic;5_Arctic;-20.555;149;AME;10;2001;after 2000;after 2000;before 2005;74;771.5;NA
Calidris_alpina;Scolopaci;Scolopacidae;10;3;0.01025641;0.02025641;YES;0.227199417;22.7199417;70.38;Arctic;5_Arctic;-149.534;73;AME;4;1990;before 2000;before 1995;before 2005;35;487.5;3_high
Calidris_alpina;Scolopaci;Scolopacidae;10;6;0.015267176;0.025267176;NO;0.319292766;31.9292766;73.079;Arctic;5_Arctic;80.654;86;ASI;1;2002;after 2000;after 1995;before 2005;27;393;3_high
Calidris_alpina;Scolopaci;Scolopacidae;10;2;0.061850444;0.071850444;YES;0.79732418;79.732418;55.47;North temperate;4_North temperate;12.97;131;EUR;6;1983;before 2000;before 1995;before 2005;203;1972.5;3_high
Calidris_alpina;Scolopaci;Scolopacidae;10;4;0.014894251;0.024894251;YES;0.312818686;31.2818686;58.701;North temperate;4_North temperate;-93.802;56;AME;8;1988;before 2000;before 1995;before 2005;127;1678.5;3_high
Calidris_alpina;Scolopaci;Scolopacidae;10;5;0.028070175;0.038070175;YES;0.509235967;50.9235967;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;46;570;2_medium
Calidris_alpina;Scolopaci;Scolopacidae;10;1;0.042454813;0.052454813;NO;0.66194922;66.194922;57.338;North temperate;4_North temperate;-7.385;125;EUR;5;1991;before 2000;before 1995;before 2005;222;2379;1_small
