species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Haematopus_palliatus;Charadrii;Other;41;1;0.03117506;0.04117506;NO;0.59769756;30.865;North temperate;-81.45;29;2;2003;after 2000;30;417
Glareola_pratincola;Scolopaci+;Other;34;1;0.007910141;0.017910141;YES;0.153608644;33.866;North temperate;-7.063;112;2;2003;after 2000;215;1896.3
Charadrius_placidus;Charadrii;Charadriidae;58;1;0.037481259;0.047481259;YES;0.669731898;35.741;North temperate;139.317;133;4;2004;after 2000;31;400.2
Vanellus_cinereus;Charadrii;Charadriidae;103;1;0.015114522;0.025114522;YES;0.371558453;36.293;North temperate;136.311;62;2;2004;after 2000;70;860.1
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;0.042971562;YES;0.62178554;36.727;North temperate;-121.796;93;7;1987;before 2000;690;8734.8
Himantopus_himantopus;Charadrii;Other;43;1;0.020334536;0.030334536;NO;0.43453087;36.95;North temperate;-6.233;35;2;1990;before 2000;233;3049
Recurvirostra_avosetta;Charadrii;Other;89;3;0.015260116;0.025260116;NO;0.346859923;36.95;North temperate;-6.233;35;2;1990;before 2000;163;2162.5
Recurvirostra_americana;Charadrii;Other;88;1;0.056874502;0.066874502;YES;0.807068756;37.433;North temperate;-121.967;117;2;2006;after 2000;56;615.39
Charadrius_nivosus;Charadrii;Charadriidae;55;1;0.041828198;0.051828198;YES;0.710360235;37.587;North temperate;-122.118;1;2;2009;after 2000;247;2940.6
Scolopax_minor;Scolopaci+;Scolopacidae;92;1;0.018744143;0.028744143;YES;0.367995952;40.525;North temperate;-76.464;132;2;2009;after 2000;13;160.05
Vanellus_spinosus;Charadrii;Charadriidae;108;1;0.00410509;0.01410509;YES;0.108793487;40.794;North temperate;26.072;41;1;2003;after 2000;39;487.2
Charadrius_nivosus;Charadrii;Charadriidae;55;3;0.042875388;0.052875388;YES;0.71940105;41.083;North temperate;-112.117;48;4;1991;before 2000;359;4384.8
Actitis_macularius;Scolopaci+;Scolopacidae;111;3;0.003164056;0.013164056;YES;0.074704633;41.203;North temperate;-72.119;47;2;1970;before 2000;22;316.05
Charadrius_alexandrinus;Charadrii;Charadriidae;45;2;0.052760505;0.062760505;YES;0.792348951;41.687;North temperate;12.375;25;4;1992;before 2000;45;530.7
Actitis_macularius;Scolopaci+;Scolopacidae;111;2;0.013605442;0.023605442;YES;0.285106492;42.34;North temperate;-82.979;14;1;1947;before 2000;35;441
Charadrius_melodus;Charadrii;Charadriidae;52;1;0.020904528;0.030904528;YES;0.480511055;42.765;North temperate;-97.062;92;3;2006;after 2000;550;7988.7
Actitis_macularius;Scolopaci+;Scolopacidae;111;5;0.003401361;0.013401361;YES;0.080086264;42.995;North temperate;-87.882;91;1;1944;before 2000;21;294
Numenius_americanus;Scolopaci+;Scolopacidae;76;1;0.024054983;0.034054983;NO;0.552248979;43.868;North temperate;-116.733;89;3;1978;before 2000;119;1746
Haematopus_ostralegus;Charadrii;Other;36;4;0.019746336;0.029746336;YES;0.43356964;46.391;North temperate;32.033;71;7;1987;before 2000;90;1316.7
Charadrius_alexandrinus;Charadrii;Charadriidae;45;1;0.036695267;0.046695267;YES;0.66182062;46.667;North temperate;19.167;90;2;1991;before 2000;58;926.55
Actitis_macularius;Scolopaci+;Scolopacidae;111;1;0.018781924;0.028781924;YES;0.371571693;47.112;North temperate;-94.372;76;15;1982;before 2000;239;4365.9
Actitis_macularius;Scolopaci+;Scolopacidae;111;4;0.029024943;0.039024943;YES;0.514043047;47.336;North temperate;-95.193;100;3;1971;before 2000;18;275.625
Vanellus_vanellus;Charadrii;Charadriidae;109;16;0.068848147;0.078848147;YES;0.890444077;47.444;North temperate;9.698;81;1;2008;after 2000;123;1292.7
Bartramia_longicauda;Scolopaci+;Scolopacidae;5;1;0.020294267;0.030294267;YES;0.425112936;47.551;North temperate;-101.002;101;28;1977;before 2000;608;8278.2
Catoptrophorus_semipalmatus;Scolopaci+;Scolopacidae;26;1;0.02750191;0.03750191;YES;0.535548018;47.551;North temperate;-101.002;101;28;1977;before 2000;77;981.75
Charadrius_vociferus;Charadrii;Charadriidae;63;1;0.016444258;0.026444258;YES;0.377110766;47.551;North temperate;-101.002;101;28;1977;before 2000;128;1824.345
Gallinago_delicata;Scolopaci+;Scolopacidae;31;1;0.024743726;0.034743726;YES;0.438006465;47.551;North temperate;-101.002;101;28;1977;before 2000;24;282.9
Limosa_fedoa;Scolopaci+;Scolopacidae;71;1;0.022429262;0.032429262;YES;0.470154299;47.551;North temperate;-101.002;101;28;1977;before 2000;43;579.6
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;1;0.025990903;0.035990903;YES;0.508864472;47.551;North temperate;-101.002;101;28;1977;before 2000;129;1692.9
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;2;0.092592593;0.102592593;YES;0.927445785;47.606;North temperate;-101.185;9;1;1975;before 2000;23;194.4
Charadrius_montanus;Charadrii;Charadriidae;54;1;0.027223902;0.037223902;YES;0.580814682;47.8;North temperate;-108.017;103;6;1998;before 2000;584;8779.05
Charadrius_dubius;Charadrii;Charadriidae;48;1;0.027027027;0.037027027;NO;0.541992979;49.0343;North temperate;14.799;135;5;2001;after 2000;73;740
Vanellus_vanellus;Charadrii;Charadriidae;109;2;0.02820781;0.03820781;NO;0.588115413;49.115;North temperate;14.268;26;18;1997;before 2000;880;13577.8
Numenius_madagascariensis;Scolopaci+;Scolopacidae;78;1;0.015571473;0.025571473;YES;0.411663719;49.397;North temperate;129.908;18;10;2002;after 2000;22;321.1
Vanellus_vanellus;Charadrii;Charadriidae;109;18;0.043468314;0.053468314;YES;0.747837679;49.589;North temperate;13.069;52;4;1994;before 2000;35;437.1
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;3;0.010055304;0.020055304;YES;0.227179219;50.195;North temperate;15.977;105;8;1982;before 2000;33;397.8
Charadrius_dubius;Charadrii;Charadriidae;48;3;0;0.01;YES;0;50.195;North temperate;15.977;105;10;1982;before 2000;40;487.35
Charadrius_melodus;Charadrii;Charadriidae;52;3;0.01684156;0.02684156;YES;0.409351822;50.433;North temperate;-106.667;53;3;2003;after 2000;149;2315.7
Vanellus_gregarius;Charadrii;Charadriidae;105;1;0.025427275;0.035427275;NO;0.513817771;50.583;North temperate;70.017;72;10;2009;after 2000;971;12427.6
Burhinus_oedicnemus;Charadrii;Other;6;1;0.033916701;0.043916701;YES;0.606093168;51.195;North temperate;-1.903;116;2;2004;after 2000;122;1474.2
Vanellus_vanellus;Charadrii;Charadriidae;109;8;0.02496773;0.03496773;NO;0.543344519;51.385;North temperate;0.805;39;1;1997;before 2000;86;860
Limosa_limosa;Scolopaci+;Scolopacidae;74;3;0.127;0.137;NO;0.974450372;52.293;North temperate;106.501;122;1;2002;after 2000;21;110
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;1;0.006;0.016;NO;0.129263317;52.308;North temperate;5.526;134;10;1979;before 2000;500;6000
Haematopus_ostralegus;Charadrii;Other;36;1;0.014;0.024;NO;0.330898389;52.308;North temperate;5.526;134;10;1979;before 2000;500;6500
Limosa_limosa;Scolopaci+;Scolopacidae;74;1;0.011;0.021;NO;0.25817772;52.308;North temperate;5.526;134;10;1979;before 2000;5000;70000
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;1;0.001;0.011;NO;0.025190058;52.308;North temperate;5.526;134;10;1979;before 2000;50;750
